stage4,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
75,Emblem,1,1,1,1,2,1,1,3,1,,,
100,jealousy,2,1,1,2,2,1,,,,,,
63,spaceofsoul,2,1,1,2,2,1,,,,,,
17,electronics,2,1,1,2,2,1,,,,,,
112,enemyrmx1,2,1,1,2,2,1,2,3,1,,,
44,shoreline,1,1,1,2,2,1,2,3,1,,,
78,rage,2,1,1,2,2,1,2,3,1,,,
91,thor,2,1,1,2,2,1,,,,,,
73,xlasher,2,1,1,2,2,1,,,,,,
103,grave,2,1,1,2,2,1,,,,,,
21,fermion,2,1,1,2,2,1,,,,,,
72,d2,2,1,1,2,2,1,2,3,1,,,
118,becomemy,2,1,1,2,2,1,2,3,1,,,
119,if,2,1,1,1,2,1,1,3,1,,,
120,drumtown,2,1,1,2,2,1,2,3,1,,,
121,beautifulgirl,2,1,1,2,2,1,2,3,1,,,
122,mellowd,1,1,1,2,2,1,2,3,1,,,
124,luvistrue,1,1,1,2,2,1,2,3,1,,,
125,goneastray,2,1,1,2,2,1,2,3,1,,,
127,everything,2,1,1,2,2,1,2,3,1,,,
131,chemical,1,1,1,2,2,1,2,3,1,,,
133,rockstar,2,1,1,2,2,1,2,3,1,,,
134,falling,2,1,1,2,2,1,2,3,1,,,
140,xeus,2,1,1,2,2,1,2,3,1,,,
142,outofcont,2,1,1,2,2,1,2,3,1,,,
143,ghost,1,1,1,1,2,1,2,3,1,,,
146,showdown,2,1,1,2,2,1,2,3,1,,,
147,darkprism,2,1,1,2,2,1,2,3,1,,,
150,egg,1,1,1,1,2,1,2,3,1,,,
151,youandme,1,1,1,2,2,1,2,3,1,,,
152,lifewithu,2,1,1,2,2,1,2,3,1,,,
156,justtoday,1,1,1,2,2,1,2,3,1,,,
158,wannabe,1,1,1,2,2,1,2,3,1,,,
159,angel,1,1,1,2,2,1,2,3,1,,,
163,supernova,2,1,1,2,2,1,2,3,1,,,
