stage3,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
165,jumping,2,1,0,,,,,,,,,
166,mister,2,1,0,,,,,,,,,
26,hereinthe,2,1,0,,,,,,,,,
31,jupiter,1,1,0,,,,,,,,,
99,lovely,1,1,0,,,,,,,,,
37,melody,1,1,0,,,,,,,,,
43,remember,1,1,0,,,,,,,,,
128,break,1,1,0,,,,,,,,,
66,cozyquilt,2,1,0,,,,,,,,,
14,creator,2,1,0,,,,,,,,,
65,dualstrikers,2,1,0,,,,,,,,,
64,heartofwitch,2,1,0,,,,,,,,,
36,lover,1,1,0,,,,,,,,,
97,rutin,2,1,0,,,,,,,,,
47,stop,2,1,0,,,,,,,,,
82,supersonicrmx,2,1,0,,,,,,,,,
52,voyage,2,1,0,,,,,,,,,
60,@piano,1,1,0,,,,,,,,,
71,beeutiful,2,1,0,,,,,,,,,
126,funkypeople,2,1,0,,,,,,,,,
102,inmydream,2,1,0,,,,,,,,,
32,keystothe,2,1,0,,,,,,,,,
34,landscape,2,1,0,,,,,,,,,
49,sweetshining,1,1,0,,,,,,,,,
51,thelastdance,2,1,0,,,,,,,,,
53,whiteblue,2,1,0,,,,,,,,,
137,feelmabeat,1,1,0,,,,,,,,,
129,hanzup,2,1,0,,,,,,,,,
45,sin,2,1,0,,,,,,,,,
46,sonof,2,1,0,,,,,,,,,
38,miles,1,1,0,,,,,,,,,
8,blythe,2,1,0,,,,,,,,,
123,leaveme,2,1,0,,,,,,,,,
162,ad2222,2,1,0,,,,,,,,,
144,signal,2,1,0,,,,,,,,,
161,bamboo,2,1,0,,,,,,,,,
125,goneastray,2,1,1,,,,,,,,,
127,everything,1,1,1,,,,,,,,,
131,chemical,1,1,1,,,,,,,,,
133,rockstar,2,1,1,,,,,,,,,
134,falling,1,1,1,,,,,,,,,
140,xeus,2,1,1,,,,,,,,,
142,outofcont,1,1,1,,,,,,,,,
143,ghost,1,1,1,,,,,,,,,
146,showdown,1,1,1,,,,,,,,,
147,darkprism,2,1,1,,,,,,,,,
150,egg,1,1,1,,,,,,,,,
151,youandme,1,1,1,,,,,,,,,
152,lifewithu,2,1,1,,,,,,,,,
156,justtoday,1,1,1,,,,,,,,,
158,wannabe,1,1,1,,,,,,,,,
159,angel,1,1,1,,,,,,,,,
163,supernova,2,1,1,,,,,,,,,
157,victimoflove,2,1,1,,,,,,,,,
